word,cnt
대통령,762
북한,239
김정은,183
국회,142
대하다,130
정상,127
후보,127
회의,127
대표,117
정치,116
회담,114
정부,111
미국,106
총리,106
민주,103
의회,98
관련,96
뉴스,89
강화,86
경제,85
발표,84
선거,76
위하다,76
북미,75
평화,75
남북,73
국민,73
정책,72
가능,71
방문,70
공화국,67
협력,66
지원,65
위원회,63
대화,62
논의,61
평양,61
만나다,59
트럼프,58
요구,57
한국,57
올림픽,56
개최,55
김정,54
결과,52
과학,51
테러,51
민주당,51
파크,50
국정,50
국가,49
대회,47
시장,46
미사일,46
예비,46
통합,45
특별,45
예정,45
보도,45
출마,44
사드,44
북핵,44
의원,44
청원,43
기술,43
외교,43
선언,42
대선,42
처리,42
문제,42
리투아니아,42
준비,41
협상,41
의장,40
검사,40
투표,40
보장,40
토론,40
결정,40
한미,40
미래,40
북아메리카,39
이사회,39
속보,39
중단,37
공동,37
지역,36
권력,36
배치,36
조사,36
국회의원,35
이명박,35
한국당,34
내년,34
민생,34
위협,34
힐러리,34
북부,34
중앙,33
정보,33
반대,33
조치,33
추진,33
참여,33
관리,33
해결,32
언론,32
압박,32
추미애,32
방송,32
통일,32
장관,32
긴급,31
지방,31
협정,31
국민의당,31
기대,31
위원장,31
희망,31
혁신,31
수사,30
통하다,30
입장,30
취임,29
성공,29
내일,29
야당,29
시작,29
노력,29
인사,28
최저,28
임금,28
더불어민주당,28
공격,28
데스,28
여야,28
오늘,28
확정,27
비핵,27
올리다,27
필요,27
무역,27
대북,27
강조,27
검찰,26
균형,26
퍼센트,26
역사,26
데일리,25
요청,25
발사,25
종료,25
사회,25
원내,25
여론,25
감사,25
관심,25
시진핑,25
전망,25
중간,24
승리자,24
오바마,24
청취,24
의하다,24
면담,24
지속,24
전국,24
합의,24
처음,23
베트남,23
의미,23
개혁,23
정권,23
돌파,23
피하다,23
지지,23
기자,22
서명,22
공직,22
아베,22
평소,22
방어,22
전선,22
제안,22
기소,22
공개,22
언급,22
안정,22
트랙,22
더민주,22
심각,22
개국,22
안보,22
다음,21
특검,21
대비,21
제한,21
기간,21
도발,21
이야기,21
최고,21
상황,21
전환,21
북쪽,21
경쟁,21
경북,20
가지다,20
원칙,20
분배,20
문재인,20
대상,20
사건,20
제출,20
아들,20
개방,20
올해,20
창조,20
공유,20
사과,20
참석,20
새누리,20
바르다,20
소통,20
밝히다,20
간담회,19
청문회,19
따르다,19
페이스북,19
끝내다,19
전쟁,19
환영,19
약속,19
운동,19
개월,19
책임,19
제재,19
열리다,18
이해찬,18
축하,18
행동,18
나타나다,18
오후,18
군사,18
연동,18
지도부,18
위원,18
의혹,18
시도지사,18
방지,18
목소리,18
주변,18
반발,18
회동,18
논란,18
통과,18
세계,18
일자리,18
홍준표,18
한반도,18
전략,18
난민,18
지키다,18
오해,18
투명,18
지시,18
의견,18
청와대,18
지사,17
청년,17
정의,17
문화,17
전대,17
침해,17
헌법,17
계획,17
시민,17
연설,17
정무,17
핵심,16
기관,16
감시,16
단체,16
활동,16
영향,16
기구,16
설립,16
선거구,16
담판,16
시도,16
시간,16
데이,15
민주주의,15
황제,15
희생자,15
설치,15
투자,15
핵무기,15
총선,15
주체,15
영상,15
사이버,15
예산,15
사전,15
실험,15
기지,15
행복,15
국방,15
확보,15
고용,15
임시,15
공천,15
수용,15
검증,15
법안,15
탄핵,15
공세,15
고위급,15
공공,15
멈추다,15
국방부,15
최순실,14
뇌물,14
신임,14
변화,14
부산,14
남한,14
시험,14
반응,14
이론,14
경우,14
이번,14
재판,14
떠나다,14
아시아,14
선수단,14
퇴장,14
조선,14
항쟁,14
여부,14
클린턴,14
개정안,14
방향,14
현장,14
민심,14
일부,14
박원순,14
교체,14
면접,14
내주,14
통화,14
드론,14
김기식,14
정면,14
발언,14
개정,14
연대,14
대응,14
공식,14
집중,14
사표,14
개발,14
진행,14
경쟁력,13
머리,13
집행,13
달리다,13
주목,13
결집,13
도쿄,13
채택,13
목표,13
정하다,13
새누리당,13
하노이,13
자택,13
자격,13
선거법,13
촛불,13
차원,13
법원,13
번영,13
조국,13
황교안,13
장소,13
집회,13
처벌,13
취하다,13
주도,13
분할,13
커뮤니케이션,13
박근혜,13
대변인,13
나누다,13
선수,13
향하다,13
자유,13
훈련,13
교양,13
취임식,12
서기장,12
