word,cnt
출시,311
갤럭시,238
개발,222
아이폰,215
서비스,166
스마트폰,163
삼성,161
기술,143
시작,143
네이버,139
애플,109
판매,106
연구,104
세계,95
위하다,94
보안,93
인공,92
플랫폼,83
구글,81
지원,80
국내,76
지능,75
사용,75
인터넷,74
전자,73
시장,73
모바일,73
게시판,71
노트,70
예약,70
한국,67
시스템,67
공개,63
페이스북,63
문제,63
정보,62
드론,62
퍼센트,60
통신,58
스마트,58
기능,58
미래,57
네트워크,56
대하다,56
SK텔레콤,53
발표,53
게임,52
기반,52
증가,51
국가,51
디스플레이,50
뉴스,49
이상,49
콘텐츠,48
미국,47
화면,46
준비,46
나오다,45
중국,45
갤럭시S8,44
로봇,44
기업,44
전기,44
장비,43
데이터,43
성공,42
발견,42
적용,42
필요,42
도입,41
공급,41
랜섬웨어,41
통하다,41
텔레콤,40
협력,40
방지,40
혁신,38
공격,38
성장,37
LG전자,37
카메라,37
과학,36
오늘,36
광고,36
돌파,35
올해,35
아프리카,34
배터리,34
사이버,34
가격,33
인기,33
가입자,32
테스트,32
진행,32
크기,31
기기,31
시간,31
검색,31
목표,30
통신망,30
달러,30
세대,29
카카오,29
인간,29
국제,28
내년,28
통합,28
방송,28
암호,28
애플리케이션,28
공유,27
사용자,27
추천,27
향상,27
제조,27
가능,26
만들다,26
공식,26
삭제,26
센터,25
개통,25
개인,25
업그레이드,25
허브,25
최대,24
갤럭시S,24
아프다,24
택시,24
협약,24
등록,24
차단,24
예정,24
움직임,24
전화,24
무선,24
자율,24
주행,24
폴리,24
제공,24
상승,23
개방,23
경쟁,23
보상,23
최초,23
버스,23
달성,23
세포,23
프로,23
여름,23
품질,23
오전,23
인증,23
확대,23
대결,23
모델,23
갤노트,23
조직,23
탑재,22
폴더,22
단독,22
행사,22
전력,22
휴대,22
동안,22
공장,22
세기,22
맞춤,22
요금,21
마련,21
삼성전자,21
인치,21
실시간,21
우수,21
생산,21
대비,21
추가,21
메신저,21
이용,21
이미지,21
조작,21
방어,21
결제,21
시험,21
인텔,21
보호,21
착륙,21
다운로드,21
프로젝트,21
개막,20
카톡,20
인공지능,20
강화,20
상용,20
스피커,20
색상,20
구조,20
버전,20
탄소,20
백신,20
특허,20
투자,19
서울,19
대상,19
올림픽,19
불법,19
미사일,19
제안,19
대책,19
진화,19
전달,19
과기,19
선정,19
필름,19
출범,19
악성,19
신고,19
데일리,19
솔루션,19
트래픽,19
금속,19
전극,19
리튬,19
용량,19
중간,19
과정,19
교육,18
진출,18
북한,18
면역,18
실물,18
갤노트8,18
정통부,18
업무,18
접속,18
개시,18
사전,18
유전자,18
과학자,18
카오,18
성능,18
소비자,18
반응,18
효율,18
회의,18
웨어러블,18
단백질,18
현실,18
신경,18
집단,17
제품,17
스타,17
오픈,17
유튜브,17
영상,17
단장,17
유튜버,17
가지,17
점유,17
공모,17
전지,17
씽큐,17
주말,17
그래픽,17
작업,17
비디오,17
장치,17
의하다,17
음악,17
배포,17
지구,17
개최,16
관리,16
상담,16
대체,16
위클리,16
유출,16
수준,16
갤노트7,16
기록,16
단계,16
콘퍼런스,16
활용,16
가지다,16
발생,16
단위,16
예방,16
프로야,16
자유,16
줄기세포,16
잠금,16
이란,15
디지털,15
제휴,15
음성,15
이용자,15
경찰,15
공략,15
산업,15
상품,15
하루,15
전원,15
인식,15
이통사,15
카카오페이,15
도전,15
완성,15
은행,15
스키,15
시청,15
마우스,15
이루다,15
검증,15
전송,15
인수,15
디자인,15
무료,15
프로필,15
우주,15
안전,15
차지,15
늘리다,15
독점,15
공동,14
할인,14
전환,14
지역,14
통신사,14
외국인,14
이벤트,14
양자암호,14
결합,14
블랙,14
블루,14
합성,14
에너지,14
가성비,14
연동,14
온라인,14
유혹,14
라즈베리,14
개선,14
코카콜라,14
편지,14
시리즈,14
침입자,14
구독,14
일일,14
드레스,14
전체,14
크롬캐스트,14
피해,14
사진,13
조사,13
한반도,13
특징,13
알리다,13
드림,13
만드다,13
제작,13
최고,13
부족,13
초점,13
기존,13
고객,13
일자리,13
기대,13
대국,13
팔리다,13
편성,13
표준,13
패키지,13
화웨이,13
폭발,13
맞추다,13
방사선,13
위조,13
목소리,13
캠프,13
줄이다,13
연예,13
정식,13
커뮤니케이션,13
원격,13
빅스비,13
이산화,13
여행,13
해외,13
반복,13
트리플,13
LG유플러스,13
시대,13
댓글,13
사회,12
평가,12
종료,12
거래,12
계획,12
보도,12
계약,12
확인,12
