word,cnt
학교,188
교육,139
전시회,138
제한,109
위하다,108
서울,107
대하다,102
코로나,97
공무원,95
경찰,92
게시판,90
학생,90
퍼센트,86
수업,80
조사,76
위원회,74
한국,73
사회,72
방송,70
사장,65
교사,65
교육청,63
기자,63
지원,61
충북,60
언론,59
대학,56
올해,55
세계,55
화재,55
혁신,55
디지털,54
고용,54
과학,53
노조,53
대표,52
채용,52
시설,51
회장,51
시간,50
여성,48
교통,48
임명,47
추진,46
혐의,46
요구,46
작업,45
센터,43
졸업,43
온라인,42
시민,42
장관,42
응급,42
기부,41
국가,41
뉴스,41
공공,41
제안,41
재단,40
회의,40
단체,40
협회,39
관리,39
기술,38
활용,38
위원장,38
사업,38
직원,38
보도,37
인사,37
규칙,37
미래부,37
미디어,37
정책,36
산업,36
언론인,36
임금,36
발생,36
경남,35
협력,35
필요,35
등교,35
산불,35
진행,35
인증,35
논란,34
정규직,34
안전,34
예정,34
중간,33
도입,33
이전,33
서울시,32
어린이,32
보상,32
계약,32
피해,31
공동,31
대회,31
개혁,31
특수,31
개발,31
전북,30
청년,30
내년,30
방역,30
수영,30
활동,30
열차,30
초등학생,30
차량,30
대구,29
종료,29
강화,29
체결,29
복지,29
윤리,29
국제,28
증가,28
정치,28
공개,28
사고,28
지방,28
완료,28
휴가,28
결정,28
공정,28
발표,27
방지,27
부산,27
운영,27
거리,27
논의,27
경쟁,27
지침,27
사임,27
자동차,27
취소,27
선정,27
교수,27
신청,27
촉구,27
선고,27
문제,27
계획,27
의하다,27
개선,26
항공,26
입학,26
발급,26
보호,26
주민,26
인천,26
본부,26
통하다,26
고등학교,26
대전,25
위기,25
가능,25
사과,25
개최,25
환경,25
지키다,25
폭력,25
지역,25
마트,25
일자리,25
모집,24
업체,24
협약,24
울산,24
학원,24
폐지,24
클럽,24
만들다,24
운전,24
환영,24
로나 콜,24
녹색,24
제주,23
대통령,23
노력,23
감사,23
이사,23
욕설,23
도서관,23
노동자,23
사우디아라비아,23
전환,23
시청,22
연구,22
관련,22
해임,22
인상,22
달러,22
소송,22
독립,22
해킹,22
제정,22
권리,22
법원,22
한겨레,22
신고,21
청소년,21
정비,21
민주,21
활성,21
대형,21
인도,21
사용자,21
선거,21
유치원,21
직업,21
상황,21
가족,21
적발,21
상승,20
정부,20
처리,20
적극,20
판결,20
기간,20
돌리다,20
노동,20
최고,20
기울이다,20
체포,20
절차,20
동안,20
추경,20
마련,20
트랙백,20
목록,20
주년,19
특별,19
미래,19
규모,19
대응,19
이용,19
취임,19
사용,19
규정,19
대비,19
교원,19
자리,19
과제,19
관광지,19
휴원,19
진화,19
학부모,19
참여,19
예산,19
열리다,19
제공,19
무인,19
시행,19
신속,19
노선,19
단속,19
중심,19
경제,19
따르다,19
제기,19
버스,19
위협,19
목표,18
후보자,18
전국,18
정정,18
연맹,18
민간,18
강릉,18
면허증,18
방문,18
박물관,18
전주,18
사건,18
국민,18
시험,18
근무,18
대한항공,18
베트남,18
롯데건설,18
일요일,18
관광객,17
해결,17
기록,17
전교조,17
소장,17
과정,17
보류,17
병원,17
포함,17
요청,17
상징,17
철회,17
이희승,17
지원금,17
리츠,17
코스,17
중재,17
소년,17
이재용,17
수수료,17
이한샘,17
상여금,17
맞춤,17
정규,17
검사,17
빌리다,17
서비스,16
확대,16
등급,16
초등,16
파업,16
한국노총,16
경찰관,16
세대,16
긴급,16
투자,16
다음,16
지급,16
과기,16
규범,16
경각심,16
독도,16
싸우다,16
공모전,16
검찰,15
임원,15
원격,15
회견,15
업무,15
규제,15
전문,15
성희롱,15
아나운서,15
기념식,15
수상,15
처벌,15
피해자,15
극복,15
재난,15
주말,15
계약서,15
주택,15
철원,15
조치,15
게릴라,15
위생,15
피소,15
해외,15
효과,15
교육부,15
확진자,15
항소,15
실종,15
응답,15
직전,15
징역형,14
나오다,14
창립,14
남부,14
유학,14
청주,14
외국인,14
경찰청장,14
키트,14
서부,14
목동,14
의회,14
부총리,14
오후,14
단골,14
기초,14
정선,14
따뜻,14
확산,14
학년,14
터널,14
기업,14
표창,14
안녕하세요,14
협상,14
인터뷰,14
추석,14
의무,14
휴업,14
양상,14
광주,13
대책,13
검증,13
제출,13
선수,13
공사,13
바꾸다,13
위반,13
주의,13
공직자,13
폭발,13
