word,cnt
퍼센트,539
투자,228
상승,212
분기,196
달러,175
증가,174
시장,159
주식,158
코스피,155
은행,140
금융,138
대출,129
이익,111
자금,107
주택,107
하락,104
판매,101
지원,101
한국,99
증권,94
개인,91
영업,82
대하다,81
실적,80
목표,78
감소,75
개발,75
협력,73
그래픽,71
올해,71
펀드,71
계약,70
신용,70
규모,69
전망,68
비율,67
기술,66
서비스,66
부동산,64
주가,64
공급,62
내년,59
거래,58
수신,56
기업,56
상장,55
금리,55
개월,55
삼성,54
위하다,54
전기,52
사업,52
전환,52
개선,51
작년,51
카드,50
경제,50
이상,50
가격,50
게시판,49
특징,48
업체,47
시작,46
코스닥,46
지분,46
증시,45
대비,44
정보,44
부품,43
제공,43
연구,43
출시,43
산업,42
발표,42
기관,42
전자,42
전년,41
매수,41
강화,41
동안,41
할인,41
회사,40
경기,40
환율,40
기금,39
지불,38
통신,38
온라인,38
가능,38
성장,38
미국,38
주목,38
자산,37
업계,37
회복,37
SK텔레콤,37
이용,37
기록,37
세계,37
투자자,36
발행,36
보험,36
연속,36
국내,36
현대차,35
상품,35
아파트,35
인하,35
공동,34
가입자,34
확대,34
사무실,33
공유,33
최대,33
일자리,32
떨어지다,32
자동차,32
요금,31
미래,31
분양,31
제조,31
합병,31
최고,31
반도체,30
교육,30
손실,30
신청,30
변환,29
추진,29
긍정,29
평가,29
결정,29
시즌,29
영업익,29
비즈니스,28
고려,28
시스템,28
뱅크,28
매각,28
중간,28
동부,27
외국인,27
제한,27
선정,27
수출,27
공시,27
셋째,26
골프,26
하이패스,26
삼성전자,26
평균,26
위기,26
조정,26
뉴스,26
경영,26
매출,26
통합,25
중국,25
급증,25
추가,25
우리은행,25
종목,25
진출,25
스마트폰,25
늘리다,24
신규,24
수수료,24
강세,24
바이오,23
재정,23
기대,23
마감,23
국제,23
최악,23
정리,23
시간,23
사용자,22
사용,22
비용,22
전반,22
정책,22
엔지니어링,21
전략,21
뉴욕,21
카카오,21
무역,21
폐지,21
환경,21
안정,21
목적,21
서울,21
대책,21
SK하이닉스,21
정부,20
필요,20
디자인,20
가상,20
지수,20
종료,20
중소기업,20
수요,19
경쟁,19
위험,19
보고서,19
소형,19
이통,19
인터넷,19
등급,19
유가,19
도시,19
자회사,19
분야,19
관광객,19
경쟁력,19
오늘,19
예정,19
기간,19
홍보,19
모바일,19
공제,19
관리,18
코스,18
이루어지다,18
인증서,18
스토어,18
오픈,18
홍콩,18
자사,18
전국,18
해외,18
매매,18
내일,18
모집,18
선택,18
그룹,18
줄이다,18
하루,18
지속,18
급등,18
참여,18
그린,18
기기,18
오르다,18
공식,18
지난해,17
개설,17
강좌,17
대상,17
생산,17
우려,17
글로벌,17
영향,17
로봇,17
불안,17
매도,17
출발,17
부담,17
회의,17
인수,17
연결,17
검토,17
인기,17
부진,17
회장,17
급락,17
보이다,17
더블,17
웰빙,16
분할,16
흑자,16
단말기,16
공장,16
활성,16
인구,16
자리,16
혜택,16
대신,16
중단,16
반등,16
중요,16
무료,16
프로,16
최다,16
지정,16
적자,16
적극,16
기본,15
재벌,15
연합,15
편입,15
사이버,15
사흘,15
집중,15
판매량,15
결제,15
운영자,15
선물,15
준비,15
이벤트,15
오리온,15
사우디,15
거래량,15
대구,15
월세,15
제조업,15
전세,15
네이버,15
동기,14
독일,14
국제선,14
돌아오다,14
예상,14
전체,14
승인,14
폐쇄,14
총액,14
이자,14
공모,14
수주,14
도입,14
나스닥,14
운영,14
현대,14
동의,14
보유,14
금융위,14
약세,14
가입,14
돌파,14
미래에셋,14
배당,14
채권,14
조성,14
적금,14
주주,14
이달,14
제품,14
보도,14
취소,14
원격,14
진행,13
출범,13
본부,13
거래소,13
매입,13
신축,13
공사,13
구매자,13
한투,13
금감원,13
라인,13
원천,13
돌아가다,13
보장,13
제휴,13
게임,13
토지,13
과제,13
개최,13
코로나,13
당국,13
성과,12
청소년,12
중선,12
일감,12
비하다,12
안전,12
분석,12
체결,12
순위,12
구매,12
배포료,12
최종,12
알리바바,12
운용,12
수익,12
이하,12
완료,12
알리다,12
첫날,12
상한,12
장중,12
효과,12
합의,12
소비자,12
유통업,12
쇼핑,12
국가,12
고용,12
서울시,12
입찰,12
한화,12
쇼크,12
예약,12
헬로모바일,11
반값,11
한국은행,11
팩토리,11
포기,11
창출,11
